









Frequency of observations in the selected location(s).:
Number of taxa: 	955

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Coscoroba Swan	7.91E-5	1.134E-4	8.11E-5	1.302E-4	1.16E-4	1.418E-4	1.397E-4	1.36E-5	5.84E-5	4.42E-5	4.66E-5	5.58E-5	4.69E-5	4.61E-5	7.26E-5	2.36E-5	3.56E-5	5.81E-5	5.23E-5	6.0E-5	1.048E-4	9.03E-5	9.3E-5	7.7E-5	1.049E-4	0.0	7.34E-5	0.0	6.8E-5	1.028E-4	0.0	8.94E-5	2.79E-5	2.89E-5	2.75E-5	4.13E-5	4.82E-5	2.04E-5	0.0	6.49E-5	2.25E-5	1.327E-4	8.68E-5	4.72E-5	8.2E-5	5.96E-5	5.04E-5	6.23E-5	
goose sp.	3.39E-5	7.09E-5	2.7E-5	2.0E-5	7.25E-5	7.73E-5	8.98E-5	0.0	0.0	0.0	1.55E-5	0.0015	1.56E-5	3.07E-5	2.9E-5	2.36E-5	1.78E-5	1.94E-5	5.23E-5	6.0E-5	0.0	3.01E-5	0.0	7.7E-5	3.5E-5	3.63E-5	0.0	5.12E-5	3.4E-5	3.43E-5	6.58E-5	0.0	5.58E-5	0.0	2.75E-5	4.13E-5	2.41E-5	2.04E-5	4.26E-5	3.25E-5	6.75E-5	0.0	4.34E-5	3.15E-5	0.0	1.99E-5	8.39E-5	3.11E-5	
Radjah Shelduck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	2.75E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose	0.0205257	0.0198792	0.0191044	0.0174522	0.0179488	0.018033	0.0195121	0.018777	0.0191328	0.0186912	0.0187175	0.0183341	0.0195107	0.0175207	0.0191702	0.0199936	0.018834	0.0175004	0.0149464	0.0156894	0.0147714	0.0160489	0.0139535	0.0152915	0.0134677	0.0156193	0.0135095	0.0150716	0.0164202	0.0146268	0.0157263	0.0157056	0.0169496	0.0196282	0.0185033	0.0206305	0.0228226	0.0229253	0.020784	0.0216241	0.0209683	0.0201884	0.0222155	0.0218141	0.0217289	0.0212314	0.0211348	0.0234938	
Ruddy Shelduck	3.05E-4	1.56E-4	1.622E-4	1.302E-4	1.015E-4	7.73E-5	2.99E-5	6.82E-5	1.022E-4	8.84E-5	9.33E-5	1.004E-4	2.187E-4	9.21E-5	5.81E-5	9.45E-5	3.56E-5	7.74E-5	1.307E-4	1.801E-4	1.571E-4	2.108E-4	3.101E-4	1.026E-4	0.0	1.453E-4	1.468E-4	1.535E-4	2.04E-4	1.713E-4	9.87E-5	1.117E-4	1.115E-4	1.445E-4	2.196E-4	2.063E-4	1.928E-4	8.14E-5	1.705E-4	1.136E-4	2.25E-5	1.99E-4	1.302E-4	1.102E-4	4.1E-5	4.767E-4	2.182E-4	1.868E-4	
Common Shelduck	1.469E-4	1.56E-4	1.758E-4	1.302E-4	1.595E-4	1.16E-4	9.98E-5	5.46E-5	7.3E-5	1.47E-5	4.66E-5	8.92E-5	4.69E-5	7.68E-5	0.0	3.54E-5	3.56E-5	5.81E-5	0.0	2.0E-5	5.24E-5	0.0	3.1E-5	2.57E-5	3.5E-5	0.0	0.0	0.0	0.0	3.43E-5	0.0	2.23E-5	2.79E-5	2.89E-5	2.75E-5	2.06E-5	0.0	4.07E-5	2.13E-5	1.62E-5	0.0015	2.21E-5	0.0	9.44E-5	6.15E-5	5.96E-5	1.68E-5	9.34E-5	
Muscovy Duck	0.0595438	0.0542353	0.0532165	0.0506243	0.0532809	0.0523202	0.0567798	0.0499993	0.050583	0.0479725	0.0500894	0.0471735	0.0478318	0.0464659	0.0449047	0.0470966	0.0456149	0.0488036	0.0430886	0.0473684	0.0494736	0.048237	0.0454884	0.0492354	0.0475391	0.0508173	0.0500367	0.0476203	0.0505864	0.0481622	0.0478697	0.0475637	0.0472527	0.0507617	0.0475485	0.0516793	0.0528028	0.0520197	0.0510754	0.0557973	0.0534782	0.0517424	0.0525882	0.0531973	0.0570896	0.05857	0.0660903	0.0604363	
Egyptian Goose x Muscovy Duck (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04E-5	2.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ringed Teal	1.13E-5	0.0	6.76E-5	0.0015	1.45E-5	0.0	0.0	1.36E-5	1.46E-5	2.357E-4	1.399E-4	8.92E-5	4.69E-5	1.54E-5	0.0015	1.18E-5	0.0	1.94E-5	2.61E-5	4.0E-5	5.24E-5	3.01E-5	0.0	0.0015	3.5E-5	0.0	1.101E-4	5.12E-5	6.8E-5	3.43E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62E-5	2.25E-5	0.0	0.0	0.0	2.05E-5	3.97E-5	3.36E-5	2.08E-5	
Wood Duck	0.0200287	0.0201344	0.0206863	0.0232896	0.02817	0.0317737	0.0330958	0.0371174	0.0391121	0.0415212	0.0465604	0.0499727	0.0531273	0.0533759	0.0503943	0.0470848	0.0493211	0.0484164	0.0481578	0.0522914	0.0486093	0.0498028	0.0469767	0.0440784	0.0389688	0.0395205	0.0341043	0.0328045	0.0332143	0.0337752	0.0350058	0.0337571	0.0355719	0.0364525	0.0378576	0.0374856	0.0354268	0.0334718	0.0353009	0.0313809	0.0279203	0.0271095	0.0245151	0.0256229	0.0246602	0.0260179	0.0295451	0.0196439	
Mandarin Duck	1.694E-4	1.418E-4	2.704E-4	1.402E-4	1.45E-4	1.031E-4	1.497E-4	1.365E-4	5.84E-5	5.89E-5	9.33E-5	1.004E-4	1.406E-4	4.61E-5	1.45E-5	1.18E-5	1.78E-5	3.87E-5	2.61E-5	4.0E-5	1.048E-4	3.01E-5	6.2E-5	2.57E-5	3.5E-5	0.0	1.101E-4	7.68E-5	3.4E-5	3.43E-5	0.0	4.47E-5	5.58E-5	2.89E-5	5.49E-5	2.06E-5	2.41E-5	8.14E-5	2.13E-5	6.49E-5	6.75E-5	1.327E-4	6.51E-5	1.416E-4	8.2E-5	3.97E-5	8.39E-5	1.557E-4	
Blue-winged Teal	0.0932639	0.0994243	0.1040129	0.105524	0.1005596	0.0904615	0.0741861	0.0915517	0.0957371	0.0953854	0.096541	0.0924623	0.0832917	0.0689465	0.0448611	0.0297956	0.0161612	0.0109958	0.0077084	0.006684	0.0074643	0.0051489	0.0054574	0.0040794	0.0039528	0.0021794	0.0023862	0.0018424	0.0017678	0.0049669	0.0135549	0.0226536	0.0352374	0.0344289	0.0312414	0.0444174	0.0409457	0.0436925	0.0484108	0.0637358	0.0753015	0.0820803	0.0911181	0.094622	0.0980055	0.0908242	0.0821051	0.0870328	
Cinnamon Teal	8.133E-4	0.0014605	0.0013385	0.0022428	0.0015803	0.0020237	0.0013274	0.001542	0.0011967	7.806E-4	5.286E-4	2.453E-4	7.81E-5	1.689E-4	1.307E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58E-5	8.67E-5	0.0	0.0015	2.41E-5	4.07E-5	6.4E-5	3.734E-4	8.999E-4	4.644E-4	0.0014102	0.0014637	0.0012709	0.0011122	7.722E-4	4.67E-4	
Blue-winged x Cinnamon Teal (hybrid)	3.502E-4	2.836E-4	5.003E-4	4.406E-4	1.74E-4	1.031E-4	1.297E-4	1.228E-4	1.313E-4	1.031E-4	2.176E-4	1.45E-4	3.12E-5	1.689E-4	1.888E-4	1.771E-4	3.56E-5	1.94E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79E-5	0.0	0.0	6.19E-5	0.0	0.0	0.0	0.0	4.5E-5	0.0	1.085E-4	2.046E-4	4.1E-4	1.787E-4	1.343E-4	2.906E-4	
Blue-winged/Cinnamon Teal	0.0	0.0015	0.0	0.0	0.0	0.0	1.0E-5	0.0	0.0	0.0	0.0	2.23E-5	0.0	0.0	2.9E-5	1.18E-5	1.78E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06E-5	0.0	2.04E-5	2.13E-5	3.25E-5	2.25E-5	4.42E-5	6.51E-5	0.0	0.0	0.0015	0.0	0.0	
